filename,width,height,class,xmin,ymin,xmax,ymax
+ (1000).png,45,45,+ ,0,0,45,45
+ (1001).png,45,45,+ ,0,0,45,45
+ (1002).png,45,45,+ ,0,0,45,45
+ (1003).png,45,45,+ ,0,0,45,45
+ (1004).png,45,45,+ ,0,0,45,45
+ (1005).png,45,45,+ ,0,0,45,45
+ (1006).png,45,45,+ ,0,0,45,45
+ (1007).png,45,45,+ ,0,0,45,45
+ (1008).png,45,45,+ ,0,0,45,45
+ (1009).png,45,45,+ ,0,0,45,45
+ (1010).png,45,45,+ ,0,0,45,45
+ (1011).png,45,45,+ ,0,0,45,45
+ (1012).png,45,45,+ ,0,0,45,45
+ (1013).png,45,45,+ ,0,0,45,45
+ (1014).png,45,45,+ ,0,0,45,45
+ (1015).png,45,45,+ ,0,0,45,45
+ (1016).png,45,45,+ ,0,0,45,45
+ (1017).png,45,45,+ ,0,0,45,45
+ (1018).png,45,45,+ ,0,0,45,45
+ (1019).png,45,45,+ ,0,0,45,45
+ (1020).png,45,45,+ ,0,0,45,45
+ (1021).png,45,45,+ ,0,0,45,45
+ (1022).png,45,45,+ ,0,0,45,45
+ (1023).png,45,45,+ ,0,0,45,45
+ (1024).png,45,45,+ ,0,0,45,45
+ (1025).png,45,45,+ ,0,0,45,45
+ (1026).png,45,45,+ ,0,0,45,45
+ (1027).png,45,45,+ ,0,0,45,45
+ (1028).png,45,45,+ ,0,0,45,45
+ (1029).png,45,45,+ ,0,0,45,45
+ (1030).png,45,45,+ ,0,0,45,45
+ (1031).png,45,45,+ ,0,0,45,45
+ (1032).png,45,45,+ ,0,0,45,45
+ (1033).png,45,45,+ ,0,0,45,45
+ (1034).png,45,45,+ ,0,0,45,45
+ (1035).png,45,45,+ ,0,0,45,45
+ (1036).png,45,45,+ ,0,0,45,45
+ (1037).png,45,45,+ ,0,0,45,45
+ (1038).png,45,45,+ ,0,0,45,45
+ (1039).png,45,45,+ ,0,0,45,45
+ (1040).png,45,45,+ ,0,0,45,45
+ (1041).png,45,45,+ ,0,0,45,45
+ (1042).png,45,45,+ ,0,0,45,45
+ (1043).png,45,45,+ ,0,0,45,45
+ (1044).png,45,45,+ ,0,0,45,45
+ (1045).png,45,45,+ ,0,0,45,45
+ (1046).png,45,45,+ ,0,0,45,45
+ (1047).png,45,45,+ ,0,0,45,45
+ (1048).png,45,45,+ ,0,0,45,45
+ (1049).png,45,45,+ ,0,0,45,45
+ (1050).png,45,45,+ ,0,0,45,45
+ (1051).png,45,45,+ ,0,0,45,45
+ (1052).png,45,45,+ ,0,0,45,45
+ (1053).png,45,45,+ ,0,0,45,45
+ (1054).png,45,45,+ ,0,0,45,45
+ (1055).png,45,45,+ ,0,0,45,45
+ (1056).png,45,45,+ ,0,0,45,45
+ (1057).png,45,45,+ ,0,0,45,45
+ (1058).png,45,45,+ ,0,0,45,45
+ (1059).png,45,45,+ ,0,0,45,45
+ (1060).png,45,45,+ ,0,0,45,45
+ (1061).png,45,45,+ ,0,0,45,45
+ (1062).png,45,45,+ ,0,0,45,45
+ (1063).png,45,45,+ ,0,0,45,45
+ (1064).png,45,45,+ ,0,0,45,45
+ (1065).png,45,45,+ ,0,0,45,45
+ (1066).png,45,45,+ ,0,0,45,45
+ (1067).png,45,45,+ ,0,0,45,45
+ (1068).png,45,45,+ ,0,0,45,45
+ (1069).png,45,45,+ ,0,0,45,45
+ (1070).png,45,45,+ ,0,0,45,45
+ (1071).png,45,45,+ ,0,0,45,45
+ (1072).png,45,45,+ ,0,0,45,45
+ (1073).png,45,45,+ ,0,0,45,45
+ (1074).png,45,45,+ ,0,0,45,45
+ (1075).png,45,45,+ ,0,0,45,45
+ (1076).png,45,45,+ ,0,0,45,45
+ (1077).png,45,45,+ ,0,0,45,45
+ (1078).png,45,45,+ ,0,0,45,45
+ (1079).png,45,45,+ ,0,0,45,45
+ (1080).png,45,45,+ ,0,0,45,45
+ (1081).png,45,45,+ ,0,0,45,45
+ (1082).png,45,45,+ ,0,0,45,45
+ (1083).png,45,45,+ ,0,0,45,45
+ (1084).png,45,45,+ ,0,0,45,45
+ (1085).png,45,45,+ ,0,0,45,45
+ (1086).png,45,45,+ ,0,0,45,45
+ (1087).png,45,45,+ ,0,0,45,45
+ (1088).png,45,45,+ ,0,0,45,45
+ (1089).png,45,45,+ ,0,0,45,45
+ (1090).png,45,45,+ ,0,0,45,45
+ (1091).png,45,45,+ ,0,0,45,45
+ (1092).png,45,45,+ ,0,0,45,45
+ (1093).png,45,45,+ ,0,0,45,45
+ (1094).png,45,45,+ ,0,0,45,45
+ (1095).png,45,45,+ ,0,0,45,45
+ (1096).png,45,45,+ ,0,0,45,45
+ (1097).png,45,45,+ ,0,0,45,45
+ (1098).png,45,45,+ ,0,0,45,45
+ (1099).png,45,45,+ ,0,0,45,45
+ (1100).png,45,45,+ ,0,0,45,45
+ (1101).png,45,45,+ ,0,0,45,45
+ (1102).png,45,45,+ ,0,0,45,45
+ (1103).png,45,45,+ ,0,0,45,45
+ (1104).png,45,45,+ ,0,0,45,45
+ (1105).png,45,45,+ ,0,0,45,45
+ (1106).png,45,45,+ ,0,0,45,45
+ (1107).png,45,45,+ ,0,0,45,45
+ (1108).png,45,45,+ ,0,0,45,45
+ (1109).png,45,45,+ ,0,0,45,45
+ (1110).png,45,45,+ ,0,0,45,45
+ (1111).png,45,45,+ ,0,0,45,45
+ (1112).png,45,45,+ ,0,0,45,45
+ (1113).png,45,45,+ ,0,0,45,45
+ (1114).png,45,45,+ ,0,0,45,45
+ (1115).png,45,45,+ ,0,0,45,45
+ (1116).png,45,45,+ ,0,0,45,45
+ (1117).png,45,45,+ ,0,0,45,45
+ (1118).png,45,45,+ ,0,0,45,45
+ (1119).png,45,45,+ ,0,0,45,45
+ (1120).png,45,45,+ ,0,0,45,45
+ (1121).png,45,45,+ ,0,0,45,45
+ (1122).png,45,45,+ ,0,0,45,45
+ (1123).png,45,45,+ ,0,0,45,45
+ (1124).png,45,45,+ ,0,0,45,45
+ (1125).png,45,45,+ ,0,0,45,45
+ (1126).png,45,45,+ ,0,0,45,45
+ (1127).png,45,45,+ ,0,0,45,45
+ (1128).png,45,45,+ ,0,0,45,45
+ (1129).png,45,45,+ ,0,0,45,45
+ (1130).png,45,45,+ ,0,0,45,45
+ (1131).png,45,45,+ ,0,0,45,45
+ (1132).png,45,45,+ ,0,0,45,45
+ (1133).png,45,45,+ ,0,0,45,45
+ (1134).png,45,45,+ ,0,0,45,45
+ (1135).png,45,45,+ ,0,0,45,45
+ (1136).png,45,45,+ ,0,0,45,45
+ (1137).png,45,45,+ ,0,0,45,45
+ (1138).png,45,45,+ ,0,0,45,45
+ (1139).png,45,45,+ ,0,0,45,45
+ (1140).png,45,45,+ ,0,0,45,45
+ (1141).png,45,45,+ ,0,0,45,45
+ (1142).png,45,45,+ ,0,0,45,45
+ (1143).png,45,45,+ ,0,0,45,45
+ (1144).png,45,45,+ ,0,0,45,45
+ (1145).png,45,45,+ ,0,0,45,45
+ (1146).png,45,45,+ ,0,0,45,45
+ (1147).png,45,45,+ ,0,0,45,45
+ (1148).png,45,45,+ ,0,0,45,45
+ (1149).png,45,45,+ ,0,0,45,45
+ (1150).png,45,45,+ ,0,0,45,45
+ (1151).png,45,45,+ ,0,0,45,45
+ (1152).png,45,45,+ ,0,0,45,45
+ (1153).png,45,45,+ ,0,0,45,45
+ (1154).png,45,45,+ ,0,0,45,45
+ (1155).png,45,45,+ ,0,0,45,45
+ (1156).png,45,45,+ ,0,0,45,45
+ (1157).png,45,45,+ ,0,0,45,45
+ (1158).png,45,45,+ ,0,0,45,45
+ (1159).png,45,45,+ ,0,0,45,45
+ (1160).png,45,45,+ ,0,0,45,45
+ (1161).png,45,45,+ ,0,0,45,45
+ (1162).png,45,45,+ ,0,0,45,45
+ (1163).png,45,45,+ ,0,0,45,45
+ (1164).png,45,45,+ ,0,0,45,45
+ (1165).png,45,45,+ ,0,0,45,45
+ (1166).png,45,45,+ ,0,0,45,45
+ (1167).png,45,45,+ ,0,0,45,45
+ (1168).png,45,45,+ ,0,0,45,45
+ (1169).png,45,45,+ ,0,0,45,45
+ (1170).png,45,45,+ ,0,0,45,45
+ (1171).png,45,45,+ ,0,0,45,45
+ (1172).png,45,45,+ ,0,0,45,45
+ (1173).png,45,45,+ ,0,0,45,45
+ (1174).png,45,45,+ ,0,0,45,45
+ (1175).png,45,45,+ ,0,0,45,45
+ (1176).png,45,45,+ ,0,0,45,45
+ (1177).png,45,45,+ ,0,0,45,45
+ (1178).png,45,45,+ ,0,0,45,45
+ (1179).png,45,45,+ ,0,0,45,45
+ (1180).png,45,45,+ ,0,0,45,45
+ (1181).png,45,45,+ ,0,0,45,45
+ (1182).png,45,45,+ ,0,0,45,45
+ (1183).png,45,45,+ ,0,0,45,45
+ (1184).png,45,45,+ ,0,0,45,45
+ (1185).png,45,45,+ ,0,0,45,45
+ (1186).png,45,45,+ ,0,0,45,45
+ (1187).png,45,45,+ ,0,0,45,45
+ (1188).png,45,45,+ ,0,0,45,45
+ (1189).png,45,45,+ ,0,0,45,45
+ (1190).png,45,45,+ ,0,0,45,45
+ (1191).png,45,45,+ ,0,0,45,45
+ (1192).png,45,45,+ ,0,0,45,45
+ (1193).png,45,45,+ ,0,0,45,45
+ (1194).png,45,45,+ ,0,0,45,45
+ (1195).png,45,45,+ ,0,0,45,45
+ (1196).png,45,45,+ ,0,0,45,45
+ (1197).png,45,45,+ ,0,0,45,45
+ (1198).png,45,45,+ ,0,0,45,45
+ (1199).png,45,45,+ ,0,0,45,45
+ (1200).png,45,45,+ ,0,0,45,45
+ (1201).png,45,45,+ ,0,0,45,45
+ (1202).png,45,45,+ ,0,0,45,45
+ (1203).png,45,45,+ ,0,0,45,45
+ (1204).png,45,45,+ ,0,0,45,45
+ (1205).png,45,45,+ ,0,0,45,45
+ (1206).png,45,45,+ ,0,0,45,45
+ (155).png,45,45,+ ,0,0,45,45
+ (156).png,45,45,+ ,0,0,45,45
+ (157).png,45,45,+ ,0,0,45,45
+ (158).png,45,45,+ ,0,0,45,45
+ (159).png,45,45,+ ,0,0,45,45
+ (160).png,45,45,+ ,0,0,45,45
+ (161).png,45,45,+ ,0,0,45,45
+ (162).png,45,45,+ ,0,0,45,45
+ (163).png,45,45,+ ,0,0,45,45
+ (164).png,45,45,+ ,0,0,45,45
+ (165).png,45,45,+ ,0,0,45,45
+ (166).png,45,45,+ ,0,0,45,45
+ (167).png,45,45,+ ,0,0,45,45
+ (168).png,45,45,+ ,0,0,45,45
+ (169).png,45,45,+ ,0,0,45,45
+ (170).png,45,45,+ ,0,0,45,45
+ (171).png,45,45,+ ,0,0,45,45
+ (172).png,45,45,+ ,0,0,45,45
+ (173).png,45,45,+ ,0,0,45,45
+ (174).png,45,45,+ ,0,0,45,45
+ (175).png,45,45,+ ,0,0,45,45
+ (176).png,45,45,+ ,0,0,45,45
+ (177).png,45,45,+ ,0,0,45,45
+ (178).png,45,45,+ ,0,0,45,45
+ (179).png,45,45,+ ,0,0,45,45
+ (180).png,45,45,+ ,0,0,45,45
+ (181).png,45,45,+ ,0,0,45,45
+ (182).png,45,45,+ ,0,0,45,45
+ (183).png,45,45,+ ,0,0,45,45
+ (184).png,45,45,+ ,0,0,45,45
+ (185).png,45,45,+ ,0,0,45,45
+ (186).png,45,45,+ ,0,0,45,45
+ (187).png,45,45,+ ,0,0,45,45
+ (188).png,45,45,+ ,0,0,45,45
+ (189).png,45,45,+ ,0,0,45,45
+ (190).png,45,45,+ ,0,0,45,45
+ (191).png,45,45,+ ,0,0,45,45
+ (192).png,45,45,+ ,0,0,45,45
+ (193).png,45,45,+ ,0,0,45,45
+ (194).png,45,45,+ ,0,0,45,45
+ (195).png,45,45,+ ,0,0,45,45
+ (196).png,45,45,+ ,0,0,45,45
+ (197).png,45,45,+ ,0,0,45,45
+ (198).png,45,45,+ ,0,0,45,45
+ (199).png,45,45,+ ,0,0,45,45
+ (200).png,45,45,+ ,0,0,45,45
+ (201).png,45,45,+ ,0,0,45,45
+ (202).png,45,45,+ ,0,0,45,45
+ (203).png,45,45,+ ,0,0,45,45
+ (204).png,45,45,+ ,0,0,45,45
+ (205).png,45,45,+ ,0,0,45,45
+ (206).png,45,45,+ ,0,0,45,45
+ (207).png,45,45,+ ,0,0,45,45
+ (208).png,45,45,+ ,0,0,45,45
+ (209).png,45,45,+ ,0,0,45,45
+ (210).png,45,45,+ ,0,0,45,45
+ (211).png,45,45,+ ,0,0,45,45
+ (212).png,45,45,+ ,0,0,45,45
+ (213).png,45,45,+ ,0,0,45,45
+ (214).png,45,45,+ ,0,0,45,45
+ (215).png,45,45,+ ,0,0,45,45
+ (216).png,45,45,+ ,0,0,45,45
+ (217).png,45,45,+ ,0,0,45,45
+ (218).png,45,45,+ ,0,0,45,45
+ (219).png,45,45,+ ,0,0,45,45
+ (220).png,45,45,+ ,0,0,45,45
+ (221).png,45,45,+ ,0,0,45,45
+ (222).png,45,45,+ ,0,0,45,45
+ (223).png,45,45,+ ,0,0,45,45
+ (224).png,45,45,+ ,0,0,45,45
+ (225).png,45,45,+ ,0,0,45,45
+ (226).png,45,45,+ ,0,0,45,45
+ (227).png,45,45,+ ,0,0,45,45
+ (228).png,45,45,+ ,0,0,45,45
+ (229).png,45,45,+ ,0,0,45,45
+ (230).png,45,45,+ ,0,0,45,45
+ (231).png,45,45,+ ,0,0,45,45
+ (232).png,45,45,+ ,0,0,45,45
+ (233).png,45,45,+ ,0,0,45,45
+ (234).png,45,45,+ ,0,0,45,45
+ (235).png,45,45,+ ,0,0,45,45
+ (236).png,45,45,+ ,0,0,45,45
+ (237).png,45,45,+ ,0,0,45,45
+ (238).png,45,45,+ ,0,0,45,45
+ (239).png,45,45,+ ,0,0,45,45
+ (240).png,45,45,+ ,0,0,45,45
+ (241).png,45,45,+ ,0,0,45,45
+ (242).png,45,45,+ ,0,0,45,45
+ (243).png,45,45,+ ,0,0,45,45
+ (244).png,45,45,+ ,0,0,45,45
+ (245).png,45,45,+ ,0,0,45,45
+ (246).png,45,45,+ ,0,0,45,45
+ (247).png,45,45,+ ,0,0,45,45
+ (248).png,45,45,+ ,0,0,45,45
+ (249).png,45,45,+ ,0,0,45,45
+ (250).png,45,45,+ ,0,0,45,45
+ (251).png,45,45,+ ,0,0,45,45
+ (252).png,45,45,+ ,0,0,45,45
+ (253).png,45,45,+ ,0,0,45,45
+ (254).png,45,45,+ ,0,0,45,45
+ (255).png,45,45,+ ,0,0,45,45
+ (256).png,45,45,+ ,0,0,45,45
+ (257).png,45,45,+ ,0,0,45,45
+ (258).png,45,45,+ ,0,0,45,45
+ (259).png,45,45,+ ,0,0,45,45
+ (260).png,45,45,+ ,0,0,45,45
+ (261).png,45,45,+ ,0,0,45,45
+ (262).png,45,45,+ ,0,0,45,45
+ (263).png,45,45,+ ,0,0,45,45
+ (264).png,45,45,+ ,0,0,45,45
+ (265).png,45,45,+ ,0,0,45,45
+ (266).png,45,45,+ ,0,0,45,45
+ (267).png,45,45,+ ,0,0,45,45
+ (268).png,45,45,+ ,0,0,45,45
+ (269).png,45,45,+ ,0,0,45,45
+ (270).png,45,45,+ ,0,0,45,45
+ (271).png,45,45,+ ,0,0,45,45
+ (272).png,45,45,+ ,0,0,45,45
+ (273).png,45,45,+ ,0,0,45,45
+ (274).png,45,45,+ ,0,0,45,45
+ (275).png,45,45,+ ,0,0,45,45
+ (276).png,45,45,+ ,0,0,45,45
+ (277).png,45,45,+ ,0,0,45,45
+ (278).png,45,45,+ ,0,0,45,45
+ (279).png,45,45,+ ,0,0,45,45
+ (280).png,45,45,+ ,0,0,45,45
+ (281).png,45,45,+ ,0,0,45,45
+ (282).png,45,45,+ ,0,0,45,45
+ (283).png,45,45,+ ,0,0,45,45
+ (284).png,45,45,+ ,0,0,45,45
+ (285).png,45,45,+ ,0,0,45,45
+ (286).png,45,45,+ ,0,0,45,45
+ (287).png,45,45,+ ,0,0,45,45
+ (288).png,45,45,+ ,0,0,45,45
+ (289).png,45,45,+ ,0,0,45,45
+ (290).png,45,45,+ ,0,0,45,45
+ (291).png,45,45,+ ,0,0,45,45
+ (292).png,45,45,+ ,0,0,45,45
+ (293).png,45,45,+ ,0,0,45,45
+ (294).png,45,45,+ ,0,0,45,45
+ (295).png,45,45,+ ,0,0,45,45
+ (296).png,45,45,+ ,0,0,45,45
+ (297).png,45,45,+ ,0,0,45,45
+ (298).png,45,45,+ ,0,0,45,45
+ (299).png,45,45,+ ,0,0,45,45
+ (300).png,45,45,+ ,0,0,45,45
+ (301).png,45,45,+ ,0,0,45,45
+ (302).png,45,45,+ ,0,0,45,45
+ (303).png,45,45,+ ,0,0,45,45
+ (304).png,45,45,+ ,0,0,45,45
+ (305).png,45,45,+ ,0,0,45,45
+ (306).png,45,45,+ ,0,0,45,45
+ (307).png,45,45,+ ,0,0,45,45
+ (308).png,45,45,+ ,0,0,45,45
+ (309).png,45,45,+ ,0,0,45,45
+ (310).png,45,45,+ ,0,0,45,45
+ (311).png,45,45,+ ,0,0,45,45
+ (312).png,45,45,+ ,0,0,45,45
+ (313).png,45,45,+ ,0,0,45,45
+ (314).png,45,45,+ ,0,0,45,45
+ (315).png,45,45,+ ,0,0,45,45
+ (316).png,45,45,+ ,0,0,45,45
+ (317).png,45,45,+ ,0,0,45,45
+ (318).png,45,45,+ ,0,0,45,45
+ (319).png,45,45,+ ,0,0,45,45
+ (320).png,45,45,+ ,0,0,45,45
+ (321).png,45,45,+ ,0,0,45,45
+ (322).png,45,45,+ ,0,0,45,45
+ (323).png,45,45,+ ,0,0,45,45
+ (324).png,45,45,+ ,0,0,45,45
+ (325).png,45,45,+ ,0,0,45,45
+ (326).png,45,45,+ ,0,0,45,45
+ (327).png,45,45,+ ,0,0,45,45
+ (328).png,45,45,+ ,0,0,45,45
+ (329).png,45,45,+ ,0,0,45,45
+ (330).png,45,45,+ ,0,0,45,45
+ (331).png,45,45,+ ,0,0,45,45
+ (332).png,45,45,+ ,0,0,45,45
+ (333).png,45,45,+ ,0,0,45,45
+ (334).png,45,45,+ ,0,0,45,45
+ (335).png,45,45,+ ,0,0,45,45
+ (336).png,45,45,+ ,0,0,45,45
+ (337).png,45,45,+ ,0,0,45,45
+ (338).png,45,45,+ ,0,0,45,45
+ (339).png,45,45,+ ,0,0,45,45
+ (340).png,45,45,+ ,0,0,45,45
+ (341).png,45,45,+ ,0,0,45,45
+ (342).png,45,45,+ ,0,0,45,45
+ (343).png,45,45,+ ,0,0,45,45
+ (344).png,45,45,+ ,0,0,45,45
+ (345).png,45,45,+ ,0,0,45,45
+ (346).png,45,45,+ ,0,0,45,45
+ (347).png,45,45,+ ,0,0,45,45
